,original_date,update_date,county_city,originating_agency,jurisdictiont_tracking_num,state_tracking_num,emac_federal_ma_num,subject,priority,worked_by,overall_status,assignment_status,assigned_to,original_dt,update_dt,subject_split,subject_std
8,03/17/202009:33:29,03/23/202008:03:40,ColumbiaDayton,ColumbiaCounty FireDistrict #3,WA­20203179243CFD3 01,WA­20203179243,,"Mask, N95, Large /Mask, Procedure,Large / Gown,Disposable, Large",IncidentStabilization,County,Assigned,In Transit,Logistics Section,2020-03-17,2020-03-23,"mask, n95, large",Masks
8,03/17/202009:33:29,03/23/202008:03:40,ColumbiaDayton,ColumbiaCounty FireDistrict #3,WA­20203179243CFD3 01,WA­20203179243,,"Mask, N95, Large /Mask, Procedure,Large / Gown,Disposable, Large",IncidentStabilization,County,Assigned,In Transit,Logistics Section,2020-03-17,2020-03-23,"mask, procedure,large",Masks
8,03/17/202009:33:29,03/23/202008:03:40,ColumbiaDayton,ColumbiaCounty FireDistrict #3,WA­20203179243CFD3 01,WA­20203179243,,"Mask, N95, Large /Mask, Procedure,Large / Gown,Disposable, Large",IncidentStabilization,County,Assigned,In Transit,Logistics Section,2020-03-17,2020-03-23,"gown,disposable, large",Gowns
9,03/12/202008:37:20,03/23/202008:02:21,ColumbiaDayton,ColumbiaCountyPublicHospitalDistrict #1,2020/0256/012020/0256/01,WA­2020312867,,"Shield, Face / Mask,Procedure",IncidentStabilization,County,Assigned,In Transit,Logistics Section,2020-03-12,2020-03-23,"shield, face",Face Shield
9,03/12/202008:37:20,03/23/202008:02:21,ColumbiaDayton,ColumbiaCountyPublicHospitalDistrict #1,2020/0256/012020/0256/01,WA­2020312867,,"Shield, Face / Mask,Procedure",IncidentStabilization,County,Assigned,In Transit,Logistics Section,2020-03-12,2020-03-23,"mask,procedure",Masks
10,03/18/202012:22:21,03/23/202007:56:46,CowlitzLongview,CowlitzFamilyHealthCenter,DEM­017,WA­202031812595,,Medical protectiveequipment/supplies,IncidentStabilization,County,Unassigned,,,2020-03-18,2020-03-23,medical protectiveequipment,
10,03/18/202012:22:21,03/23/202007:56:46,CowlitzLongview,CowlitzFamilyHealthCenter,DEM­017,WA­202031812595,,Medical protectiveequipment/supplies,IncidentStabilization,County,Unassigned,,,2020-03-18,2020-03-23,supplies,
11,03/13/202018:32:38,03/23/202007:54:03,ThurstonTumwater,WA StateDepartmentof Health,DOH­T0313.19WA­202031318843,WA­202031318843,,"Staffing, Tumwater,Data EntrySpecialist",IncidentStabilization,State,Assigned,AssignedCompleted,Planning SectionLogistics Section,2020-03-13,2020-03-23,"staffing, tumwater,data entryspecialist",Staffing
12,03/05/202010:29:15,03/23/202007:51:14,SnohomishEverett,South CountyFire andRescue,Snoco­20203510900,WA­20203510900,,"Gown, surgical /Gloves",IncidentStabilization,County,Accepted,CompletedCompleted,Logistics SectionLogistics Section,2020-03-05,2020-03-23,"gown, surgical",Gowns
12,03/05/202010:29:15,03/23/202007:51:14,SnohomishEverett,South CountyFire andRescue,Snoco­20203510900,WA­20203510900,,"Gown, surgical /Gloves",IncidentStabilization,County,Accepted,CompletedCompleted,Logistics SectionLogistics Section,2020-03-05,2020-03-23,gloves,Gloves
13,03/13/202014:44:46,03/23/202007:50:10,SnohomishEverett,SnohomishCountyMedicalExaminer,SNOCO ­20203131498WA­20203131498,WA­20203131498,,"Mask,isolation",IncidentStabilization,County,Completed,AssignedCompleted,Logistics SectionMovement Coordination,2020-03-13,2020-03-23,"mask,isolation",Masks
14,03/05/202014:26:19,03/21/202016:01:38,FranklinPasco,Pasco FireDepartment,FC­03052020­001FC­CORONA­001,WA­20203514337,,"Mask, N95 /Glasses,Safety",IncidentStabilization,County,Assigned,Assigned,,2020-03-05,2020-03-21,"mask, n95",Masks
14,03/05/202014:26:19,03/21/202016:01:38,FranklinPasco,Pasco FireDepartment,FC­03052020­001FC­CORONA­001,WA­20203514337,,"Mask, N95 /Glasses,Safety",IncidentStabilization,County,Assigned,Assigned,,2020-03-05,2020-03-21,"glasses,safety",Goggles/Glasses
15,03/11/202008:38:24,03/21/202016:01:37,KingRenton,KCFMD,KC­20203118126,WA­20203118126,,RollingRacks,,County,Completed,Accepted,,2020-03-11,2020-03-21,rollingracks,
16,03/16/202017:52:53,03/21/202016:01:26,JeffersonPortHadlock,JeffersonCountySheriff,JCSO31620­1200256,WA­202031617476,,"Mask, N95",IncidentStabilization,County,Assigned,Assigned,,2020-03-16,2020-03-21,"mask, n95",Masks
17,03/13/202013:26:43,03/21/202016:01:25,MasonShelton,MasonGeneralHospital,20­0265­004,WA­202031313476,,Swab /TransportMedia,IncidentStabilization,County,Assigned,Assigned,,2020-03-13,2020-03-21,swab,SWABS
17,03/13/202013:26:43,03/21/202016:01:25,MasonShelton,MasonGeneralHospital,20­0265­004,WA­202031313476,,Swab /TransportMedia,IncidentStabilization,County,Assigned,Assigned,,2020-03-13,2020-03-21,transportmedia,
18,03/13/202016:43:03,03/21/202016:01:25,AdamsOthello,ConventryHouseAssistedLiving,WA­202031316867,WA­202031316867,,HandSanitizer,IncidentStabilization,County,Assigned,Assigned,,2020-03-13,2020-03-21,handsanitizer,Disinfectant/Sanitizer
19,03/16/202017:45:34,03/21/202016:01:13,JeffersonPortTownsend,East JeffersonCounty Fire,EJFR31620200256,WA­202031617927,,PatientTransportVentilator,IncidentStabilization,County,Assigned,Assigned,,2020-03-16,2020-03-21,patienttransportventilator,
20,03/21/202012:20:59,03/21/202016:01:07,MasonShelton,Mason CountyPUD #1,WA­20203211215820­0265­005,WA­202032112158,,"Wipes,Disinfectant/ Gloves,Latex /Paper,Towels &ToiletPaper /IsopropylAlcohol",IncidentStabilization,County,Assigned,Assigned,,2020-03-21,2020-03-21,"wipes,disinfectant",Disinfectant/Sanitizer
20,03/21/202012:20:59,03/21/202016:01:07,MasonShelton,Mason CountyPUD #1,WA­20203211215820­0265­005,WA­202032112158,,"Wipes,Disinfectant/ Gloves,Latex /Paper,Towels &ToiletPaper /IsopropylAlcohol",IncidentStabilization,County,Assigned,Assigned,,2020-03-21,2020-03-21,"gloves,latex",Gloves
20,03/21/202012:20:59,03/21/202016:01:07,MasonShelton,Mason CountyPUD #1,WA­20203211215820­0265­005,WA­202032112158,,"Wipes,Disinfectant/ Gloves,Latex /Paper,Towels &ToiletPaper /IsopropylAlcohol",IncidentStabilization,County,Assigned,Assigned,,2020-03-21,2020-03-21,"paper,towels &toiletpaper",
20,03/21/202012:20:59,03/21/202016:01:07,MasonShelton,Mason CountyPUD #1,WA­20203211215820­0265­005,WA­202032112158,,"Wipes,Disinfectant/ Gloves,Latex /Paper,Towels &ToiletPaper /IsopropylAlcohol",IncidentStabilization,County,Assigned,Assigned,,2020-03-21,2020-03-21,isopropylalcohol,
21,03/09/202016:58:47,03/21/202016:00:55,AdamsOthello,ColumbiaBasin HealthAssociation,ACEM 20­0001ACEM 20­0001,WA­20203916184,,"Mask, N95",IncidentStabilization,County,Assigned,Assigned,,2020-03-09,2020-03-21,"mask, n95",Masks
22,02/03/202018:32:48,03/21/202018:09:31,KingShoreline,WA DOHLab,NCOV0240,WA­20202318133,,QuarantineSpecialists,IncidentStabilization,State,Cancelled,,,2020-02-03,2020-03-21,quarantinespecialists,
23,03/14/202015:10:28,03/21/202018:08:20,PierceTacoma,LutheranCommunityServicesNW,29301,WA­20203141526,,face masks,IncidentStabilization,County,Unassigned,,,2020-03-14,2020-03-21,face masks,Masks
24,03/14/202016:10:54,03/21/202018:07:50,KingKirkland,PHSKC,PH­202031416335PH­202031416335,WA­202031416335,,HandSanitizer;Gowns;Face Masks(Don'tremove: RR274),IncidentStabilization,City,Accepted,,,2020-03-14,2020-03-21,handsanitizer;gowns;face masks(don'tremove: rr274),Masks
25,03/21/202014:03:02,03/21/202018:07:38,PierceLakewood,MarkDouglas,­,WA­202032114977,,Advisersand IMOps,IncidentStabilization,State,Assigned,Assigned,,2020-03-21,2020-03-21,advisersand imops,
26,02/18/202011:51:06,03/21/202018:06:59,KingSeattle,PHSKC,126WA­20203613279,WA­202021811851,,Desk andChair forDawn,,City,Assigned,Accepted,,2020-02-18,2020-03-21,desk andchair fordawn,
27,03/10/202013:20:00,03/21/202018:06:29,SpokaneSpokane,DSHS,DSHS­0004,WA­202031013134,,"SurgicalMasks, N95Niosh OneSize",IncidentStabilization,State,Cancelled,Cancelled,,2020-03-10,2020-03-21,"surgicalmasks, n95niosh onesize",Masks
28,03/02/202010:59:07,03/21/202018:05:58,KingBellevue,MissionHealthcareof Bellevue,TBD,WA­20203210719,,Mask,,County,Assigned,Assigned,,2020-03-02,2020-03-21,mask,Masks
29,03/06/202013:40:47,03/21/202018:03:28,ThurstonTumwater,Departmentof Health,WA­20203613124­,WA­20203613124,,"Mask, N95,small",IncidentStabilization,State,Accepted,Accepted,,2020-03-06,2020-03-21,"mask, n95,small",Masks
30,03/04/202010:19:02,03/21/202018:02:31,SpokaneSpokane,HOLYFAMILYHOSPITAL,HF­005,WA­20203410703,,"Mask, N95",IncidentStabilization,County,Assigned,In Transit,,2020-03-04,2020-03-21,"mask, n95",Masks
31,03/12/202011:14:19,03/21/202016:54:03,KingSeattle,KlineGalland,PH­202031211382WA­202031211382,WA­202031211382,,HandSanitizer,IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-12,2020-03-21,handsanitizer,Disinfectant/Sanitizer
32,03/10/202011:22:20,03/21/202016:54:03,KingRenton,King CountyEmergencyManagement,KC­202031011239,WA­202031011239,,ShelterPartialPrivacyScreens,IncidentStabilization,County,Assigned,AssignedAssignedAssigned,Logistics SectionLogistics SectionLogistics Section,2020-03-10,2020-03-21,shelterpartialprivacyscreens,
33,03/13/202017:07:07,03/21/202016:53:51,KingSeaTac,NorthwestKidneyCenters,PH­202031317719/KC­202031317719WA­202031317719,WA­202031317719,,"Mask,Procedure",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-13,2020-03-21,"mask,procedure",Masks
34,03/12/202010:23:05,03/21/202016:53:51,KingIssaquah,IssaquahPoliceDepartment,Iss­200265­001Iss­200265­001,WA­202031210256,,"Suit, Tyvek /Booties,Disposable /Glasses,Safety / Mask,N95 / Mask,Procedure /Gloves,Exam",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-12,2020-03-21,"suit, tyvek",
34,03/12/202010:23:05,03/21/202016:53:51,KingIssaquah,IssaquahPoliceDepartment,Iss­200265­001Iss­200265­001,WA­202031210256,,"Suit, Tyvek /Booties,Disposable /Glasses,Safety / Mask,N95 / Mask,Procedure /Gloves,Exam",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-12,2020-03-21,"booties,disposable",
34,03/12/202010:23:05,03/21/202016:53:51,KingIssaquah,IssaquahPoliceDepartment,Iss­200265­001Iss­200265­001,WA­202031210256,,"Suit, Tyvek /Booties,Disposable /Glasses,Safety / Mask,N95 / Mask,Procedure /Gloves,Exam",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-12,2020-03-21,"glasses,safety",Goggles/Glasses
34,03/12/202010:23:05,03/21/202016:53:51,KingIssaquah,IssaquahPoliceDepartment,Iss­200265­001Iss­200265­001,WA­202031210256,,"Suit, Tyvek /Booties,Disposable /Glasses,Safety / Mask,N95 / Mask,Procedure /Gloves,Exam",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-12,2020-03-21,"mask,n95",Masks
34,03/12/202010:23:05,03/21/202016:53:51,KingIssaquah,IssaquahPoliceDepartment,Iss­200265­001Iss­200265­001,WA­202031210256,,"Suit, Tyvek /Booties,Disposable /Glasses,Safety / Mask,N95 / Mask,Procedure /Gloves,Exam",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-12,2020-03-21,"mask,procedure",Masks
34,03/12/202010:23:05,03/21/202016:53:51,KingIssaquah,IssaquahPoliceDepartment,Iss­200265­001Iss­200265­001,WA­202031210256,,"Suit, Tyvek /Booties,Disposable /Glasses,Safety / Mask,N95 / Mask,Procedure /Gloves,Exam",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-12,2020-03-21,"gloves,exam",Gloves
35,03/17/202014:20:41,03/21/202016:53:46,KingAlgona,King CountyFire District#2 (BurienFD),WA­202031714129KC­202031714129,WA­202031714129,,"Thermometer,No Contact, /Temporal",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-17,2020-03-21,"thermometer,no contact,",Thermometers
35,03/17/202014:20:41,03/21/202016:53:46,KingAlgona,King CountyFire District#2 (BurienFD),WA­202031714129KC­202031714129,WA­202031714129,,"Thermometer,No Contact, /Temporal",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-17,2020-03-21,temporal,
36,03/14/202011:34:00,03/21/202016:53:45,WhatcomLynden,WhatcomCountyHealthDepartment,20­0265/Whatcom0013 (ChristianHCC)WA­202031411488,WA­202031411488,,"Gown,Isolation",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-14,2020-03-21,"gown,isolation",Gowns
37,03/13/202013:40:01,03/21/202017:11:35,SnohomishEdmonds,SwedishEdmondsMedicalCenter,ED014SnoCo­202031313728,WA­202031313728,,"Gloves, ExamNitrile",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-13,2020-03-21,"gloves, examnitrile",Gloves
38,03/16/202017:08:27,03/21/202017:11:34,ThurstonOlympia,ThurstonCountyEmergencyManagement,TH­202031617310TH­202031617310,WA­202031617310,,"TransportMedium Tubes,Universal forNasophayngealSwabs",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-16,2020-03-21,"transportmedium tubes,universal fornasophayngealswabs",SWABS
39,03/13/202009:24:22,03/21/202017:11:34,SnohomishBothell,BothellHealthcare,SnoCo­20203139893WA­20203139893,WA­20203139893,,Hand Sanitizer,IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-13,2020-03-21,hand sanitizer,Disinfectant/Sanitizer
40,03/10/202014:26:36,03/21/202017:11:24,SnohomishMarysville,EverettClinic,Snoco­202031014541,WA­202031014541,,Wipedisinfectant,IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-10,2020-03-21,wipedisinfectant,Disinfectant/Sanitizer
41,03/13/202013:43:08,03/21/202017:11:16,SnohomishEdmonds,SwedishEdmondsMedical,ED007/SNOCO­202031313654WA­202031313654,WA­202031313654,,Mask Isolation#47117,IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-13,2020-03-21,mask isolation#47117,Masks
42,03/11/202012:06:26,03/21/202017:11:15,SnohomishEverett,SnohomishHealthDistrict,SNOCO ­ WA­20203111252,WA­20203111252,,"waste bags,bio­hazard",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-11,2020-03-21,"waste bags,bio­hazard",
43,03/13/202010:57:13,03/21/202017:11:04,SnohomishEverett,SnohomishCouny FireTask Force,SnoCo­202031310424WA­202031310424,WA­202031310424,,"Suits, Tyvek",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-13,2020-03-21,"suits, tyvek",
44,03/18/202012:57:34,03/24/202010:31:23,KingRenton,King CountyEOC,KC­202031812902,WA­202031812902,,Chairs AC/RC,IncidentStabilization,County,Unassigned,,,2020-03-18,2020-03-24,chairs ac,
44,03/18/202012:57:34,03/24/202010:31:23,KingRenton,King CountyEOC,KC­202031812902,WA­202031812902,,Chairs AC/RC,IncidentStabilization,County,Unassigned,,,2020-03-18,2020-03-24,rc,
45,03/24/202010:10:05,03/24/202010:30:22,KingSeattle,WAPICommunityServices,"PH­202032410878,RR 392a",WA­202032410878,,RR 392a (DONOT REMOVE) ­PPE forWAPICommunityServices,IncidentStabilization,City,Unassigned,,,2020-03-24,2020-03-24,rr 392a (donot remove) ­ppe forwapicommunityservices,
46,03/23/202010:11:23,03/24/202010:30:04,WhatcomEverson,NooksackIndian Tribe,WA­202032310208,WA­202032310208,,* NooksackConsolidatedList,IncidentStabilization,State,Accepted,Assigned,,2020-03-23,2020-03-24,* nooksackconsolidatedlist,
47,03/23/202014:03:14,03/24/202010:28:34,KingSeattle,DCHS,02,WA­202032314786,,Aurora site,,County,Unassigned,,,2020-03-23,2020-03-24,aurora site,
48,03/23/202015:37:16,03/24/202010:28:00,KingSeattle,CommunityHouse,"PH­202032315901,RR 332aKC­202032315901",WA­202032315901,,RR 332a (DONOT REMOVE) ­PPE forCommunityHouse,IncidentStabilization,County,Unassigned,,,2020-03-23,2020-03-24,rr 332a (donot remove) ­ppe forcommunityhouse,
49,03/23/202016:39:29,03/24/202010:27:30,KingShoreline,Department ofHealth,WA­202032316335,WA­202032316335,,* DOH PublicHealth Lab ­Shoreline IMTPPE,IncidentStabilization,State,Accepted,Assigned,,2020-03-23,2020-03-24,* doh publichealth lab ­shoreline imtppe,
50,03/23/202015:17:57,03/24/202010:27:22,ColumbiaDayton,ColumbiaCountyEmergencyManagement,ColumbiaCOVID 03ColumbiaCOVID 03,WA­202032315929,,Medical GradeAir Compressorfor Ventilator,IncidentStabilization,State,Assigned,Assigned,,2020-03-23,2020-03-24,medical gradeair compressorfor ventilator,
51,03/20/202016:52:12,03/24/202010:27:13,KingBellevue,Bellevue ­Transportation,BEL­202032016366,WA­202032016366,,Disinfectantwipes,IncidentStabilization,County,Unassigned,Accepted,,2020-03-20,2020-03-24,disinfectantwipes,Disinfectant/Sanitizer
52,03/24/202010:12:35,03/24/202010:25:32,KingAlgona,King CountyFire District #2(Burien FD),008,WA­202032410500,,N­95 Masks,,County,Unassigned,,,2020-03-24,2020-03-24,n­95 masks,Masks
53,03/18/202006:24:06,03/24/202010:20:19,KitsapKingston,Port GambleS'KlallamTribe,WA­202031867215,WA­20203186721,,* Port GambleS'Klallam TribeBulk Request,IncidentStabilization,State,Accepted,Assigned,,2020-03-18,2020-03-24,* port gambles'klallam tribebulk request,
54,03/13/202016:18:18,03/13/202016:53:39,KingAlgona,KC EM,KC­202031316185,WA­202031316185,,Mobile washer andDryer units,IncidentStabilization,County,Unassigned,,,2020-03-13,2020-03-13,mobile washer anddryer units,
55,03/13/202015:01:15,03/13/202015:42:25,SkagitMountVernon,Rehabco,202003131418,WA­202031315716,,PPE,IncidentStabilization,County,Completed,AcceptedCompleted,,2020-03-13,2020-03-13,ppe,PPE
56,03/11/202016:34:25,03/13/202012:52:36,SnohomishArlington,Sno CountyFire TaskForce,Snoco­202031116773,WA­202031116773,,N 95 masks model8210,Life Saving,County,Accepted,,,2020-03-11,2020-03-13,n 95 masks model8210,Masks
57,03/10/202017:47:13,03/13/202008:39:28,KingSeattle,PHSKC,PH­202031017989,WA­202031017989,,RR 228S Staff forEconolodge,IncidentStabilization,City,Unassigned,,,2020-03-10,2020-03-13,rr 228s staff foreconolodge,
58,03/06/202018:30:37,03/13/202006:57:53,KingSeattle,PHSKC(Comms),PH­20203618844,WA­20203618844,,"RR 163 ­ ""StopGerms"" Posters in19 Languages",IncidentStabilization,City,Accepted,Accepted,,2020-03-06,2020-03-13,"rr 163 ­ ""stopgerms"" posters in19 languages",
59,03/12/202013:37:59,03/12/202016:41:30,MasonShelton,MasonCountyPublicHealth,20­0265­002,WA­2020312135,,MRC Volunteers,,County,Cancelled,,,2020-03-12,2020-03-12,mrc volunteers,
60,03/12/202016:03:59,03/12/202016:07:44,SnohomishEverett,NorthwestAmbulance,Snoco­202031216658,WA­202031216658,,Goggles andgowns,IncidentStabilization,County,Cancelled,,,2020-03-12,2020-03-12,goggles andgowns,Gowns
61,03/12/202007:50:23,03/12/202014:22:20,KingRenton,KCOEM,KC­20203127568,WA­20203127568,,RapidTAG SurgeEquipment andSupplies,IncidentStabilization,County,In Transit,,,2020-03-12,2020-03-12,rapidtag surgeequipment andsupplies,
62,03/08/202016:15:18,03/12/202013:28:52,KingSeattle,DCHS,KC­20203816618,WA­20203816618,,"upon closure ofcongregate COVIDshelters, needtransit fordepartures",IncidentStabilization,County,Assigned,,,2020-03-08,2020-03-12,"upon closure ofcongregate covidshelters, needtransit fordepartures",
63,03/09/202013:05:21,03/12/202013:22:55,SnohomishLynnwood,EdmondsSchoolDistrict,SnoCo­20203913433SnoCo­20203913433,WA­20203913433,,N95 masks,IncidentStabilization,County,Cancelled,,,2020-03-09,2020-03-12,n95 masks,Masks
64,02/07/202014:41:56,02/21/202008:32:33,KingSeattle,PHSKC,PH­20202714289,WA­20202714289,,RR 113 ­ HotelRoom Cleaning,IncidentStabilization,City,Completed,Completed,,2020-02-07,2020-02-21,rr 113 ­ hotelroom cleaning,
65,01/31/2020,02/21/202008:32:15,KingSeattle,PHSKC,PH­2020261736,WA­2020261736,,RR 015 ­ Schoolsand ChildcareCoordinator,IncidentStabilization,City,Completed,Completed,,2020-01-31,2020-02-21,rr 015 ­ schoolsand childcarecoordinator,
66,02/07/202012:17:23,02/21/202008:32:06,KingSeattle,PHSKC,PH­20202712197,WA­20202712197,,RR 010 ­ DiseaseInvestigator,IncidentStabilization,City,Completed,Completed,,2020-02-07,2020-02-21,rr 010 ­ diseaseinvestigator,
67,01/30/2020,02/21/202008:31:54,KingSeattle,PHSKC,PH­20202617289,WA­20202617289,,RR 109 ­ KCFleet Vehicle,IncidentStabilization,City,Completed,Completed,,2020-01-30,2020-02-21,rr 109 ­ kcfleet vehicle,
68,02/07/202011:57:43,02/21/202008:31:45,KingSeattle,PHSKC,PH­20202711645,WA­20202711645,,RR 007 ­Epidemiologist,IncidentStabilization,City,Completed,Completed,,2020-02-07,2020-02-21,rr 007 ­epidemiologist,
