,original_dt,update_dt,agency,county,city,subject_list,subject_std,pty,worked_by,overall_stus,assignment_stus,assignee,jurisdictiont_tracking_num,state_tracking_num,emac_federal_ma_num
34,2020-03-12,2020-03-21,Issaquah Police Department,King,Issaquah,"mask, procedure",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,Iss­200265­001 Iss­200265­001,WA­ 202031210256,
34,2020-03-12,2020-03-21,Issaquah Police Department,King,Issaquah,"gloves, exam",Gloves,Incident Stabilization,County,Assigned,Assigned,Logistics Section,Iss­200265­001 Iss­200265­001,WA­ 202031210256,
35,2020-03-17,2020-03-21,King County Fire District #2 (Burien FD),King,Algona,"thermometer, no contact,",Thermometers,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031714129 KC­202031714129,WA­ 202031714129,
35,2020-03-17,2020-03-21,King County Fire District #2 (Burien FD),King,Algona,temporal,,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031714129 KC­202031714129,WA­ 202031714129,
36,2020-03-14,2020-03-21,Whatcom County Health Department,Whatcom,Lynden,"gown, isolation",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,20­0265/Whatcom 0013 (Christian HCC) WA­ 202031411488,WA­ 202031411488,
37,2020-03-13,2020-03-21,Swedish Edmonds Medical,Snohomish,Edmonds,"gloves, exam nitrile",Gloves,Incident Stabilization,County,Assigned,Assigned,Logistics Section,ED014 SnoCo­ 202031313728,WA­ 202031313728,
38,2020-03-16,2020-03-21,Thurston County Emergency Management,Thurston,Olympia,"transport medium tubes, universal for nasophayngeal swabs",SWABS,Incident Stabilization,County,Assigned,Assigned,Logistics Section,TH­ 202031617310 TH­ 202031617310,WA­ 202031617310,
39,2020-03-13,2020-03-21,Bothell Healthcare,Snohomish,Bothell,hand sanitizer,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,SnoCo­ 20203139893 WA­ 20203139893,WA­ 20203139893,
40,2020-03-10,2020-03-21,Everett Clinic,Snohomish,Marysville,wipe disinfectant,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,Snoco­ 202031014541,WA­ 202031014541,
41,2020-03-13,2020-03-21,Swedish Edmonds Medical,Snohomish,Edmonds,mask isolation #47117,Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,ED007/SNOCO ­202031313654 WA­ 202031313654,WA­ 202031313654,
42,2020-03-11,2020-03-21,Snohomish Health District,Snohomish,Everett,"waste bags, bio­hazard",,Incident Stabilization,County,Assigned,Assigned,Logistics Section,SNOCO ­ WA­ 20203111252,WA­ 20203111252,
43,2020-03-13,2020-03-21,Snohomish Couny Fire Task Force,Snohomish,Everett,"suits, tyvek",,Incident Stabilization,County,Assigned,Assigned,Logistics Section,SnoCo­ 202031310424 WA­ 202031310424,WA­ 202031310424,
44,2020-03-18,2020-03-24,King County EOC,King,Renton,chairs ac,,Incident Stabilization,County,Unassigned,,,KC­ 202031812902,WA­ 202031812902,
44,2020-03-18,2020-03-24,King County EOC,King,Renton,rc,,Incident Stabilization,County,Unassigned,,,KC­ 202031812902,WA­ 202031812902,
45,2020-03-24,2020-03-24,WAPI Community Services,King,Seattle,rr 392a (do not remove) ­ ppe for wapicommunity services,,Incident Stabilization,City,Unassigned,,,"PH­ 202032410878, RR 392a",WA­ 202032410878,
46,2020-03-23,2020-03-24,Nooksack Indian Tribe,Whatcom,Everson,* nooksack consolidated list,,Incident Stabilization,State,Accepted,Assigned,,WA­ 202032310208,WA­ 202032310208,
47,2020-03-23,2020-03-24,DCHS,King,Seattle,aurora site,,,County,Unassigned,,,02,WA­ 202032314786,
48,2020-03-23,2020-03-24,Community House,King,Seattle,rr 332a (do not remove) ­ ppe for community house,,Incident Stabilization,County,Unassigned,,,"PH­ 202032315901, RR 332a KC­ 202032315901",WA­ 202032315901,
49,2020-03-23,2020-03-24,Department of Health,King,Shoreline,* doh public health lab ­ shoreline imt ppe,,Incident Stabilization,State,Accepted,Assigned,,WA­ 202032316335,WA­ 202032316335,
50,2020-03-23,2020-03-24,Columbia County Emergency Management,Columbia,Dayton,medical grade air compressor for ventilator,,Incident Stabilization,State,Assigned,Assigned,,Columbia COVID 03 Columbia COVID 03,WA­ 202032315929,
51,2020-03-20,2020-03-24,Bellevue ­ Transportation,King,Bellevue,disinfectant wipes,Disinfectant/Sanitizer,Incident Stabilization,County,Unassigned,Accepted,,BEL­ 202032016366,WA­ 202032016366,
52,2020-03-24,2020-03-24,King County Fire District #2 (Burien FD),King,Algona,n­95 masks,Masks,,County,Unassigned,,,008,WA­ 202032410500,
53,2020-03-18,2020-03-24,Port Gamble S'Klallam Tribe,Kitsap,Kingston,* port gamble s'klallam tribe bulk request,,Incident Stabilization,State,Accepted,Assigned,,WA­ 20203186721 5,WA­ 20203186721,
54,2020-03-13,2020-03-13,KC EM,King,Algona,mobile washer and dryer units,,Incident Stabilization,County,Unassigned,,,KC­ 202031316185,WA­ 202031316185,
55,2020-03-13,2020-03-13,Rehabco,Skagit,Mount Vernon,ppe,PPE,Incident Stabilization,County,Completed,Accepted Completed,,202003131418,WA­ 202031315716,
56,2020-03-11,2020-03-13,Sno County Fire Task Force,Snohomish,Arlington,n 95 masks model 8210,Masks,Life Saving,County,Accepted,,,Snoco­ 202031116773,WA­ 202031116773,
57,2020-03-10,2020-03-13,PHSKC,King,Seattle,rr 228s staff for econolodge,,Incident Stabilization,City,Unassigned,,,PH­ 202031017989,WA­ 202031017989,
58,2020-03-06,2020-03-13,PHSKC (Comms),King,Seattle,"rr 163 ­ ""stop germs"" posters in 19 languages",,Incident Stabilization,City,Accepted,Accepted,,PH­ 20203618844,WA­ 20203618844,
59,2020-03-12,2020-03-12,Mason County Public Health,Mason,Shelton,mrc volunteers,,,County,Cancelled,,,20­0265­002,WA­ 2020312135,
60,2020-03-12,2020-03-12,Northwest Ambulance,Snohomish,Everett,goggles and gowns,Gowns,Incident Stabilization,County,Cancelled,,,Snoco­ 202031216658,WA­ 202031216658,
61,2020-03-12,2020-03-12,KCOEM,King,Renton,rapidtag surge equipment and supplies,,Incident Stabilization,County,In Transit,,,KC­ 20203127568,WA­ 20203127568,
62,2020-03-08,2020-03-12,DCHS,King,Seattle,"upon closure of congregate covid shelters, need transit for departures",,Incident Stabilization,County,Assigned,,,KC­ 20203816618,WA­ 20203816618,
63,2020-03-09,2020-03-12,Edmonds School District,Snohomish,Lynnwood,n95 masks,Masks,Incident Stabilization,County,Cancelled,,,SnoCo­ 20203913433 SnoCo­ 20203913433,WA­ 20203913433,
64,2020-02-07,2020-02-21,PHSKC,King,Seattle,rr 113 ­ hotel room cleaning,,Incident Stabilization,City,Completed,Completed,,PH­ 20202714289,WA­ 20202714289,
65,2020-01-31,2020-02-21,PHSKC,King,Seattle,rr 015 ­ schools and childcare coordinator,,Incident Stabilization,City,Completed,Completed,,PH­ 2020261736,WA­ 2020261736,
66,2020-02-07,2020-02-21,PHSKC,King,Seattle,rr 010 ­ disease investigator,,Incident Stabilization,City,Completed,Completed,,PH­ 20202712197,WA­ 20202712197,
67,2020-01-30,2020-02-21,PHSKC,King,Seattle,rr 109 ­ kc fleet vehicle,,Incident Stabilization,City,Completed,Completed,,PH­ 20202617289,WA­ 20202617289,
68,2020-02-07,2020-02-21,PHSKC,King,Seattle,rr 007 ­ epidemiologist,,Incident Stabilization,City,Completed,Completed,,PH­ 20202711645,WA­ 20202711645,
69,2020-02-07,2020-02-21,PHSKC,King,Seattle,rr 106 ­ food for hmac staff,,Incident Stabilization,City,Completed,Completed,,PH­ 20202711216,WA­ 20202711216,
70,2020-02-07,2020-02-21,PHSKC,King,Seattle,rr 012 ­ message dissemination specialist,,Incident Stabilization,City,Completed,Completed,,PH­ 20202711373,WA­ 20202711373,
71,2020-02-07,2020-02-21,PHSKC,King,Seattle,rr 102 ­ fred meyer and safeway cards,,Incident Stabilization,City,Completed,Completed,,PH­ 20202711300,WA­ 20202711300,
72,2020-02-07,2020-02-21,PHSKC,King,Seattle,rr 016 ­ communications technical assistant,,Incident Stabilization,City,Completed,Completed,,PH­ 20202711367,WA­ 20202711367,
73,2020-03-18,2020-03-21,Franklin County Emergency Management,Franklin,Connell,"mask, n95",Masks,Incident Stabilization,County,Assigned,Accepted,,FCEM COVID­ 19 03­18­2020 CBHA 02,WA­ 202031815909,
74,2020-01-27,2020-03-21,Department of Health,Thurston,Bucoda,liaison officer,,Incident Stabilization,State,Completed,Completed,,NCoV0013,WA­ 20201271190,
74,2020-01-27,2020-03-21,Department of Health,Thurston,Bucoda,^,,Incident Stabilization,State,Completed,Completed,,NCoV0013,WA­ 20201271190,
75,2020-02-28,2020-03-21,Department of Health,Thurston,Tumwater,quarantine staff,,Incident Stabilization,State,Completed,Completed,,DOH­T 0228.03,WA­ 202022812561,
75,2020-02-28,2020-03-21,Department of Health,Thurston,Tumwater,^,,Incident Stabilization,State,Completed,Completed,,DOH­T 0228.03,WA­ 202022812561,
76,2020-03-16,2020-03-21,Thurston County Emergency Management,Thurston,Olympia,"staffing, olympia, security personnel",Staffing,Property Preservation,State,Assigned,Assigned,,TH­ 202031616170 TH­ 202031616170,WA­ 202031616170,
77,2020-03-18,2020-03-21,Spokane County Sheriff,Spokane,Spokane,"eyeware, protective, safety, clear, adult, 500",,Incident Stabilization,County,Assigned,Assigned,,WA­ 202031815383 SCSO­004,WA­ 202031815383,
78,2020-03-19,2020-03-21,Spokane County EMS,Spokane,Spokane,"mask, surgical,",Masks,Incident Stabilization,County,Assigned,,,WA­ 202031913267 SC EMS 002,WA­ 202031913267,
78,2020-03-19,2020-03-21,Spokane County EMS,Spokane,Spokane,surgical face mask,Masks,Incident Stabilization,County,Assigned,,,WA­ 202031913267 SC EMS 002,WA­ 202031913267,
79,2020-03-19,2020-03-21,Spokane County EMS,Spokane,Spokane,n­95,,Incident Stabilization,County,Assigned,Assigned,,WA­ 202031913410 SC EMS 001,WA­ 202031913410,
79,2020-03-19,2020-03-21,Spokane County EMS,Spokane,Spokane,n100,,Incident Stabilization,County,Assigned,Assigned,,WA­ 202031913410 SC EMS 001,WA­ 202031913410,
80,2020-03-19,2020-03-21,Spokane County EMS,Spokane,Spokane,disposable gowns,Gowns,Incident Stabilization,County,Assigned,Assigned,,WA­ 202031914617 SC EMS 003,WA­ 202031914617,
81,2020-03-19,2020-03-21,Spokane County EMS,Spokane,Spokane,disposable medical face shields,Face Shield,Incident Stabilization,County,Assigned,Assigned,,WA­ 202031914610 SC EMS 004,WA­ 202031914610,
82,2020-03-08,2020-03-21,EvergreenHealth,King,Seattle,"mask, procedure",Masks,Incident Stabilization,County,Accepted,Accepted,Logistics Section,PH­ 20203813603 KC­ 20203813603,WA­ 20203813603,
83,2020-03-18,2020-03-21,All Heart Agency,Island,Coupeville,eye protection,Goggles/Glasses,Incident Stabilization,County,Cancelled,,,IC­20­030026,WA­ 202031810612,
84,2020-03-21,2020-03-21,Pierce County Emergency Management,Pierce,Bonney Lake,500 gowns. tier 1.,Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 20203219541 30290,WA­ 20203219541,
85,2020-03-18,2020-03-21,City of SeaTac,King,SeaTac,hand sanitizer,Disinfectant/Sanitizer,Incident Stabilization,State,Cancelled,,,SeaTac­002­ WA­ 202031812664 KC­ 202031812664,WA­ 202031812664,
86,2020-03-18,2020-03-21,All Heart Agency,Island,Coupeville,disinfecting wipes,Disinfectant/Sanitizer,Incident Stabilization,County,Cancelled,,,IC­20­030025,WA­ 202031810177,
87,2020-03-11,2020-03-21,Herons Key Penrose Harbor,Pierce,Gig Harbor,"mask, n95",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,38 (TPCHD) 28735,WA­ 202031116917,
87,2020-03-11,2020-03-21,Herons Key Penrose Harbor,Pierce,Gig Harbor,"gown, disposable",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,38 (TPCHD) 28735,WA­ 202031116917,
88,2020-03-18,2020-03-21,All Heart Agency,Island,Coupeville,hand sanitizer,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,IC­20­030024,WA­ 202031810410,
89,2020-03-11,2020-03-21,Central Pierce,Pierce,Puyallup,"gown, disposable",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,20­0265 28193,WA­ 202031113975,
90,2020-03-09,2020-03-21,Snohomish Health District,Snohomish,Everett,"supply kit, take home",,Incident Stabilization,State,Completed,Completed,Logistics Section,SnoCo­ 20203916921,WA­ 20203916921,
90,2020-03-09,2020-03-21,Snohomish Health District,Snohomish,Everett,^,,Incident Stabilization,State,Completed,Completed,Logistics Section,SnoCo­ 20203916921,WA­ 20203916921,
91,2020-03-06,2020-03-21,Snohomish Health District,Snohomish,Everett,staffing,Staffing,Life Saving,State,Completed,Completed,Logistics Section,SnoCo­ 2020361265 SnoCo­ 2020361265,WA­ 2020361265,
91,2020-03-06,2020-03-21,Snohomish Health District,Snohomish,Everett,nurse or disease investigation specialists,,Life Saving,State,Completed,Completed,Logistics Section,SnoCo­ 2020361265 SnoCo­ 2020361265,WA­ 2020361265,
91,2020-03-06,2020-03-21,Snohomish Health District,Snohomish,Everett,^,,Life Saving,State,Completed,Completed,Logistics Section,SnoCo­ 2020361265 SnoCo­ 2020361265,WA­ 2020361265,
92,2020-03-02,2020-03-21,WA State DOH,Thurston,Tumwater,deputy logistics chief,,Incident Stabilization,State,Completed,Completed,Planning Section,0302.08,WA­ 202032149,
92,2020-03-02,2020-03-21,WA State DOH,Thurston,Tumwater,^,,Incident Stabilization,State,Completed,Completed,Planning Section,0302.08,WA­ 202032149,
93,2020-03-19,2020-03-21,Holiday Retirement / Cascadian Place/ BULK Med T3,Snohomish,Everett,"masks, n95",Masks,Incident Stabilization,County,Assigned,,,SnoCo­ 202031913472,WA­ 202031913472,
94,2020-02-27,2020-03-21,Snohomish Health District,Snohomish,Snohomish,"masks, n95",Masks,Incident Stabilization,State,Completed,Completed,Logistics Section,SnoCo ­ 202022710677,WA­ 202022710677,
94,2020-02-27,2020-03-21,Snohomish Health District,Snohomish,Snohomish,^,,Incident Stabilization,State,Completed,Completed,Logistics Section,SnoCo ­ 202022710677,WA­ 202022710677,
95,2020-02-05,2020-03-21,PHSKC,King,Seattle,supplies for take home kits,,Incident Stabilization,State,Completed,Completed,Logistics Section,RR 105 1,WA­ 20202511179,
95,2020-02-05,2020-03-21,PHSKC,King,Seattle,^,,Incident Stabilization,State,Completed,Completed,Logistics Section,RR 105 1,WA­ 20202511179,
96,2020-03-09,2020-03-21,DSHS ­ Long Term Care IC,Thurston,Olympia,"mask, n95",Masks,Incident Stabilization,State,Completed,Completed,Logistics Section,DSHS­0010,WA­ 20203916104,
96,2020-03-09,2020-03-21,DSHS ­ Long Term Care IC,Thurston,Olympia,^,,Incident Stabilization,State,Completed,Completed,Logistics Section,DSHS­0010,WA­ 20203916104,
97,2020-03-11,2020-03-21,Pierce County Emergency Management,Pierce,Tacoma,face shields,Face Shield,Incident Stabilization,County,Accepted,Completed,Logistics Section,4 28613,WA­ 20203119387,
97,2020-03-11,2020-03-21,Pierce County Emergency Management,Pierce,Tacoma,masks,Masks,Incident Stabilization,County,Accepted,Completed,Logistics Section,4 28613,WA­ 20203119387,
