,original_dt,update_dt,agency,county,city,subject,pty,worked_by,overall_stus,assignment_stus,assignee,jurisdictiont_tracking_num,state_tracking_num,emac_federal_ma_num
11,2020-03-13,2020-03-23,WA State DOH,Thurston,Tumwater,"Staffing, Tumwater, Data Entry Specialist",Incident Stabilization,State,Assigned,Assigned Completed,Planning Section Logistics Section,DOH­T 0313.19 WA­ 202031318843,WA­ 202031318843,
12,2020-03-05,2020-03-23,South County Fire and Rescue,Snohomish,Everett,"Gown, surgical / Gloves",Incident Stabilization,County,Accepted,Completed,Logistics Section,Snoco­ 20203510900,WA­ 20203510900,
13,2020-03-13,2020-03-23,Snohomish County Medical Examiner,Snohomish,Everett,"Mask,isolation",Incident Stabilization,County,Completed,Assigned Completed,Logistics Section Movement Coordination,SNOCO ­ 20203131498 WA­ 20203131498,WA­ 20203131498,
14,2020-03-05,2020-03-21,Pasco Fire Department,Franklin,Pasco,"Mask, N95 / Glasses, Safety",Incident Stabilization,County,Assigned,Assigned,,FC­03052020­ 001 FC­CORONA­ 001,WA­ 20203514337,
15,2020-03-11,2020-03-21,KCFMD,King,Renton,Rolling Racks,,County,Completed,Accepted,,KC­ 20203118126,WA­ 20203118126,
16,2020-03-16,2020-03-21,Jefferson County Sheriff,Jefferson,Port Hadlock,"Mask, N95",Incident Stabilization,County,Assigned,Assigned,,JCSO31620­1 200256,WA­ 202031617476,
17,2020-03-13,2020-03-21,Mason General Hospital,Mason,Shelton,Swab / Transport Media,Incident Stabilization,County,Assigned,Assigned,,20­0265­004,WA­ 202031313476,
18,2020-03-13,2020-03-21,Conventry House Assisted Living,Adams,Othello,Hand Sanitizer,Incident Stabilization,County,Assigned,Assigned,,WA­ 202031316867,WA­ 202031316867,
19,2020-03-16,2020-03-21,East Jefferson County Fire,Jefferson,Port Townsend,Patient Transport Ventilator,Incident Stabilization,County,Assigned,Assigned,,EJFR31620 200256,WA­ 202031617927,
20,2020-03-21,2020-03-21,Mason County PUD #1,Mason,Shelton,"Wipes, Disinfectant / Gloves, Latex / Paper, Towels & Toilet Paper / Isopropyl Alcohol",Incident Stabilization,County,Assigned,Assigned,,WA­ 202032112158 20­0265­005,WA­ 202032112158,
21,2020-03-09,2020-03-21,Columbia Basin Health Association,Adams,Othello,"Mask, N95",Incident Stabilization,County,Assigned,Assigned,,ACEM 20­ 0001 ACEM 20­ 0001,WA­ 20203916184,
22,2020-02-03,2020-03-21,WA DOH Lab,King,Shoreline,Quarantine Specialists,Incident Stabilization,State,Cancelled,,,NCOV0240,WA­ 20202318133,
23,2020-03-14,2020-03-21,Lutheran Community Services NW,Pierce,Tacoma,face masks,Incident Stabilization,County,Unassigned,,,29301,WA­ 20203141526,
24,2020-03-14,2020-03-21,PHSKC,King,Kirkland,Hand Sanitizer; Gowns; Face Masks (Don't remove: RR 274),Incident Stabilization,City,Accepted,,,PH­ 202031416335 PH­ 202031416335,WA­ 202031416335,
25,2020-03-21,2020-03-21,Mark Douglas,Pierce,Lakewood,Advisers and IM Ops,Incident Stabilization,State,Assigned,Assigned,,­,WA­ 202032114977,
26,2020-02-18,2020-03-21,PHSKC,King,Seattle,Desk and Chair for Dawn,,City,Assigned,Accepted,,126 WA­ 20203613279,WA­ 202021811851,
27,2020-03-10,2020-03-21,DSHS,Spokane,Spokane,"Surgical Masks, N95 Niosh One Size",Incident Stabilization,State,Cancelled,Cancelled,,DSHS­0004,WA­ 202031013134,
28,2020-03-02,2020-03-21,Mission Healthcare of Bellevue,King,Bellevue,Mask,,County,Assigned,Assigned,,TBD,WA­ 20203210719,
29,2020-03-06,2020-03-21,Department of Health,Thurston,Tumwater,"Mask, N95, small",Incident Stabilization,State,Accepted,Accepted,,WA­ 20203613124 ­,WA­ 20203613124,
30,2020-03-04,2020-03-21,HOLY FAMILY HOSPITAL,Spokane,Spokane,"Mask, N95",Incident Stabilization,County,Assigned,In Transit,,HF­005,WA­ 20203410703,
31,2020-03-12,2020-03-21,Kline Galland,King,Seattle,Hand Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­202031211382 WA­ 202031211382,WA­ 202031211382,
32,2020-03-10,2020-03-21,King County Emergency Management,King,Renton,Shelter Partial Privacy Screens,Incident Stabilization,County,Assigned,Assigned,Logistics Section,KC­202031011239,WA­ 202031011239,
33,2020-03-13,2020-03-21,Northwest Kidney Centers,King,SeaTac,"Mask, Procedure",Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 202031317719/KC­ 202031317719 WA­ 202031317719,WA­ 202031317719,
34,2020-03-12,2020-03-21,Issaquah Police Department,King,Issaquah,"Suit, Tyvek / Booties, Disposable / Glasses, Safety / Mask, N95 / Mask, Procedure / Gloves, Exam",Incident Stabilization,County,Assigned,Assigned,Logistics Section,Iss­200265­001 Iss­200265­001,WA­ 202031210256,
35,2020-03-17,2020-03-21,King County Fire District #2 (Burien FD),King,Algona,"Thermometer, No Contact, / Temporal",Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031714129 KC­202031714129,WA­ 202031714129,
36,2020-03-14,2020-03-21,Whatcom County Health Department,Whatcom,Lynden,"Gown, Isolation",Incident Stabilization,County,Assigned,Assigned,Logistics Section,20­0265/Whatcom 0013 (Christian HCC) WA­ 202031411488,WA­ 202031411488,
37,2020-03-13,2020-03-21,Swedish Edmonds Medical,Snohomish,Edmonds,"Gloves, Exam Nitrile",Incident Stabilization,County,Assigned,Assigned,Logistics Section,ED014 SnoCo­ 202031313728,WA­ 202031313728,
38,2020-03-16,2020-03-21,Thurston County Emergency Management,Thurston,Olympia,"Transport Medium Tubes, Universal for Nasophayngeal Swabs",Incident Stabilization,County,Assigned,Assigned,Logistics Section,TH­ 202031617310 TH­ 202031617310,WA­ 202031617310,
39,2020-03-13,2020-03-21,Bothell Healthcare,Snohomish,Bothell,Hand Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,SnoCo­ 20203139893 WA­ 20203139893,WA­ 20203139893,
40,2020-03-10,2020-03-21,Everett Clinic,Snohomish,Marysville,Wipe disinfectant,Incident Stabilization,County,Assigned,Assigned,Logistics Section,Snoco­ 202031014541,WA­ 202031014541,
41,2020-03-13,2020-03-21,Swedish Edmonds Medical,Snohomish,Edmonds,Mask Isolation #47117,Incident Stabilization,County,Assigned,Assigned,Logistics Section,ED007/SNOCO ­202031313654 WA­ 202031313654,WA­ 202031313654,
42,2020-03-11,2020-03-21,Snohomish Health District,Snohomish,Everett,"waste bags, bio­hazard",Incident Stabilization,County,Assigned,Assigned,Logistics Section,SNOCO ­ WA­ 20203111252,WA­ 20203111252,
43,2020-03-13,2020-03-21,Snohomish Couny Fire Task Force,Snohomish,Everett,"Suits, Tyvek",Incident Stabilization,County,Assigned,Assigned,Logistics Section,SnoCo­ 202031310424 WA­ 202031310424,WA­ 202031310424,
44,2020-03-18,2020-03-24,King County EOC,King,Renton,Chairs AC/RC,Incident Stabilization,County,Unassigned,,,KC­ 202031812902,WA­ 202031812902,
45,2020-03-24,2020-03-24,WAPI Community Services,King,Seattle,RR 392a (DO NOT REMOVE) ­ PPE for WAPICommunity Services,Incident Stabilization,City,Unassigned,,,"PH­ 202032410878, RR 392a",WA­ 202032410878,
46,2020-03-23,2020-03-24,Nooksack Indian Tribe,Whatcom,Everson,* Nooksack Consolidated List,Incident Stabilization,State,Accepted,Assigned,,WA­ 202032310208,WA­ 202032310208,
47,2020-03-23,2020-03-24,DCHS,King,Seattle,Aurora site,,County,Unassigned,,,02,WA­ 202032314786,
48,2020-03-23,2020-03-24,Community House,King,Seattle,RR 332a (DO NOT REMOVE) ­ PPE for Community House,Incident Stabilization,County,Unassigned,,,"PH­ 202032315901, RR 332a KC­ 202032315901",WA­ 202032315901,
49,2020-03-23,2020-03-24,Department of Health,King,Shoreline,* DOH Public Health Lab ­ Shoreline IMT PPE,Incident Stabilization,State,Accepted,Assigned,,WA­ 202032316335,WA­ 202032316335,
50,2020-03-23,2020-03-24,Columbia County Emergency Management,Columbia,Dayton,Medical Grade Air Compressor for Ventilator,Incident Stabilization,State,Assigned,Assigned,,Columbia COVID 03 Columbia COVID 03,WA­ 202032315929,
51,2020-03-20,2020-03-24,Bellevue ­ Transportation,King,Bellevue,Disinfectant wipes,Incident Stabilization,County,Unassigned,Accepted,,BEL­ 202032016366,WA­ 202032016366,
52,2020-03-24,2020-03-24,King County Fire District #2 (Burien FD),King,Algona,N­95 Masks,,County,Unassigned,,,008,WA­ 202032410500,
53,2020-03-18,2020-03-24,Port Gamble S'Klallam Tribe,Kitsap,Kingston,* Port Gamble S'Klallam Tribe Bulk Request,Incident Stabilization,State,Accepted,Assigned,,WA­ 20203186721 5,WA­ 20203186721,
54,2020-03-13,2020-03-13,KC EM,King,Algona,Mobile washer and Dryer units,Incident Stabilization,County,Unassigned,,,KC­ 202031316185,WA­ 202031316185,
55,2020-03-13,2020-03-13,Rehabco,Skagit,Mount Vernon,PPE,Incident Stabilization,County,Completed,Accepted Completed,,202003131418,WA­ 202031315716,
56,2020-03-11,2020-03-13,Sno County Fire Task Force,Snohomish,Arlington,N 95 masks model 8210,Life Saving,County,Accepted,,,Snoco­ 202031116773,WA­ 202031116773,
57,2020-03-10,2020-03-13,PHSKC,King,Seattle,RR 228S Staff for Econolodge,Incident Stabilization,City,Unassigned,,,PH­ 202031017989,WA­ 202031017989,
58,2020-03-06,2020-03-13,PHSKC (Comms),King,Seattle,"RR 163 ­ ""Stop Germs"" Posters in 19 Languages",Incident Stabilization,City,Accepted,Accepted,,PH­ 20203618844,WA­ 20203618844,
59,2020-03-12,2020-03-12,Mason County Public Health,Mason,Shelton,MRC Volunteers,,County,Cancelled,,,20­0265­002,WA­ 2020312135,
60,2020-03-12,2020-03-12,Northwest Ambulance,Snohomish,Everett,Goggles and gowns,Incident Stabilization,County,Cancelled,,,Snoco­ 202031216658,WA­ 202031216658,
61,2020-03-12,2020-03-12,KCOEM,King,Renton,RapidTAG Surge Equipment and Supplies,Incident Stabilization,County,In Transit,,,KC­ 20203127568,WA­ 20203127568,
62,2020-03-08,2020-03-12,DCHS,King,Seattle,"upon closure of congregate COVID shelters, need transit for departures",Incident Stabilization,County,Assigned,,,KC­ 20203816618,WA­ 20203816618,
63,2020-03-09,2020-03-12,Edmonds School District,Snohomish,Lynnwood,N95 masks,Incident Stabilization,County,Cancelled,,,SnoCo­ 20203913433 SnoCo­ 20203913433,WA­ 20203913433,
64,2020-02-07,2020-02-21,PHSKC,King,Seattle,RR 113 ­ Hotel Room Cleaning,Incident Stabilization,City,Completed,Completed,,PH­ 20202714289,WA­ 20202714289,
65,2020-01-31,2020-02-21,PHSKC,King,Seattle,RR 015 ­ Schools and Childcare Coordinator,Incident Stabilization,City,Completed,Completed,,PH­ 2020261736,WA­ 2020261736,
66,2020-02-07,2020-02-21,PHSKC,King,Seattle,RR 010 ­ Disease Investigator,Incident Stabilization,City,Completed,Completed,,PH­ 20202712197,WA­ 20202712197,
67,2020-01-30,2020-02-21,PHSKC,King,Seattle,RR 109 ­ KC Fleet Vehicle,Incident Stabilization,City,Completed,Completed,,PH­ 20202617289,WA­ 20202617289,
68,2020-02-07,2020-02-21,PHSKC,King,Seattle,RR 007 ­ Epidemiologist,Incident Stabilization,City,Completed,Completed,,PH­ 20202711645,WA­ 20202711645,
69,2020-02-07,2020-02-21,PHSKC,King,Seattle,RR 106 ­ Food for HMAC Staff,Incident Stabilization,City,Completed,Completed,,PH­ 20202711216,WA­ 20202711216,
70,2020-02-07,2020-02-21,PHSKC,King,Seattle,RR 012 ­ Message Dissemination Specialist,Incident Stabilization,City,Completed,Completed,,PH­ 20202711373,WA­ 20202711373,
71,2020-02-07,2020-02-21,PHSKC,King,Seattle,RR 102 ­ Fred Meyer and Safeway Cards,Incident Stabilization,City,Completed,Completed,,PH­ 20202711300,WA­ 20202711300,
72,2020-02-07,2020-02-21,PHSKC,King,Seattle,RR 016 ­ Communications Technical Assistant,Incident Stabilization,City,Completed,Completed,,PH­ 20202711367,WA­ 20202711367,
73,2020-03-18,2020-03-21,Franklin County Emergency Management,Franklin,Connell,"Mask, N95",Incident Stabilization,County,Assigned,Accepted,,FCEM COVID­ 19 03­18­2020 CBHA 02,WA­ 202031815909,
74,2020-01-27,2020-03-21,Department of Health,Thurston,Bucoda,Liaison Officer / ^,Incident Stabilization,State,Completed,Completed,,NCoV0013,WA­ 20201271190,
75,2020-02-28,2020-03-21,Department of Health,Thurston,Tumwater,Quarantine Staff / ^,Incident Stabilization,State,Completed,Completed,,DOH­T 0228.03,WA­ 202022812561,
76,2020-03-16,2020-03-21,Thurston County Emergency Management,Thurston,Olympia,"Staffing, Olympia, Security Personnel",Property Preservation,State,Assigned,Assigned,,TH­ 202031616170 TH­ 202031616170,WA­ 202031616170,
77,2020-03-18,2020-03-21,Spokane County Sheriff,Spokane,Spokane,"Eyeware, Protective, Safety, Clear, Adult, 500",Incident Stabilization,County,Assigned,Assigned,,WA­ 202031815383 SCSO­004,WA­ 202031815383,
78,2020-03-19,2020-03-21,Spokane County EMS,Spokane,Spokane,"Mask, Surgical, / Surgical face mask",Incident Stabilization,County,Assigned,,,WA­ 202031913267 SC EMS 002,WA­ 202031913267,
79,2020-03-19,2020-03-21,Spokane County EMS,Spokane,Spokane,N­95/N100,Incident Stabilization,County,Assigned,Assigned,,WA­ 202031913410 SC EMS 001,WA­ 202031913410,
80,2020-03-19,2020-03-21,Spokane County EMS,Spokane,Spokane,Disposable gowns,Incident Stabilization,County,Assigned,Assigned,,WA­ 202031914617 SC EMS 003,WA­ 202031914617,
81,2020-03-19,2020-03-21,Spokane County EMS,Spokane,Spokane,Disposable medical face shields,Incident Stabilization,County,Assigned,Assigned,,WA­ 202031914610 SC EMS 004,WA­ 202031914610,
82,2020-03-08,2020-03-21,EvergreenHealth,King,Seattle,"Mask, Procedure",Incident Stabilization,County,Accepted,Accepted,Logistics Section,PH­ 20203813603 KC­ 20203813603,WA­ 20203813603,
83,2020-03-18,2020-03-21,All Heart Agency,Island,Coupeville,Eye Protection,Incident Stabilization,County,Cancelled,,,IC­20­030026,WA­ 202031810612,
84,2020-03-21,2020-03-21,Pierce County Emergency Management,Pierce,Bonney Lake,500 Gowns. Tier 1.,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 20203219541 30290,WA­ 20203219541,
85,2020-03-18,2020-03-21,City of SeaTac,King,SeaTac,Hand Sanitizer,Incident Stabilization,State,Cancelled,,,SeaTac­002­ WA­ 202031812664 KC­ 202031812664,WA­ 202031812664,
86,2020-03-18,2020-03-21,All Heart Agency,Island,Coupeville,Disinfecting Wipes,Incident Stabilization,County,Cancelled,,,IC­20­030025,WA­ 202031810177,
87,2020-03-11,2020-03-21,Herons Key Penrose Harbor,Pierce,Gig Harbor,"Mask, N95 / Gown, Disposable",Incident Stabilization,County,Assigned,Assigned,Logistics Section,38 (TPCHD) 28735,WA­ 202031116917,
88,2020-03-18,2020-03-21,All Heart Agency,Island,Coupeville,Hand Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,IC­20­030024,WA­ 202031810410,
89,2020-03-11,2020-03-21,Central Pierce,Pierce,Puyallup,"Gown, Disposable",Incident Stabilization,County,Assigned,Assigned,Logistics Section,20­0265 28193,WA­ 202031113975,
90,2020-03-09,2020-03-21,Snohomish Health District,Snohomish,Everett,"supply kit, take home / ^",Incident Stabilization,State,Completed,Completed,Logistics Section,SnoCo­ 20203916921,WA­ 20203916921,
91,2020-03-06,2020-03-21,Snohomish Health District,Snohomish,Everett,Staffing / Nurse or disease investigation specialists / ^,Life Saving,State,Completed,Completed,Logistics Section,SnoCo­ 2020361265 SnoCo­ 2020361265,WA­ 2020361265,
92,2020-03-02,2020-03-21,WA State DOH,Thurston,Tumwater,Deputy Logistics Chief / ^,Incident Stabilization,State,Completed,Completed,Planning Section,0302.08,WA­ 202032149,
93,2020-03-19,2020-03-21,Holiday Retirement / Cascadian Place/ BULK Med T3,Snohomish,Everett,"Masks, N95",Incident Stabilization,County,Assigned,,,SnoCo­ 202031913472,WA­ 202031913472,
94,2020-02-27,2020-03-21,Snohomish Health District,Snohomish,Snohomish,"Masks, N95 / ^",Incident Stabilization,State,Completed,Completed,Logistics Section,SnoCo ­ 202022710677,WA­ 202022710677,
95,2020-02-05,2020-03-21,PHSKC,King,Seattle,Supplies for Take Home Kits / ^,Incident Stabilization,State,Completed,Completed,Logistics Section,RR 105 1,WA­ 20202511179,
96,2020-03-09,2020-03-21,DSHS ­ Long Term Care IC,Thurston,Olympia,"Mask, N95 / ^",Incident Stabilization,State,Completed,Completed,Logistics Section,DSHS­0010,WA­ 20203916104,
97,2020-03-11,2020-03-21,Pierce County Emergency Management,Pierce,Tacoma,Face shields/masks,Incident Stabilization,County,Accepted,Completed,Logistics Section,4 28613,WA­ 20203119387,
98,2020-03-20,2020-03-21,Klickitat Valley Health,Klickitat,Goldendale,"Medication, albuteral sulfate inhaler",Life Saving,County,Assigned,Assigned,Logistics Section,WA­ 202032021217 0260048,WA­ 202032021217,
99,2020-03-18,2020-03-21,Camano Island Fire Rescue,Island,Coupeville,"Suit, Protective, Coverall, Tyvek, XL, 200",Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031811314 IC­20­030031,WA­ 202031811314,
100,2020-03-20,2020-03-21,Klickitat Valley Health,Klickitat,Goldendale,"Gowns, Isolation",Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202032020533 0260038,WA­ 202032020533,
101,2020-03-20,2020-03-21,Klickitat Valley Health,Klickitat,Goldendale,Commercial Washer and Dryer Set,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 20203202081 0260040,WA­ 20203202081,
102,2020-03-18,2020-03-21,Camano Island Fire Rescue,Island,Coupeville,Electrostatic Sprayer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,IC­20­030030,WA­ 20203181175,
103,2020-03-20,2020-03-21,Klickitat Valley Health,Klickitat,Goldendale,"Medication, albuteral sulfate inhaler",Incident Stabilization,County,Assigned,Assigned,Logistics Section,0260046,WA­ 202032021105,
104,2020-03-10,2020-03-18,PHSKC,King,Seattle,Staffing RR 223S Staff for Renton Recovery Facility,Incident Stabilization,County,Unassigned,,,PH­ 202031016296 KC­ 202031016296,WA­ 202031016296,
105,2020-03-02,2020-03-17,King County Metro Transit,King,Seattle,Disinfectant Wipes,Incident Stabilization,County,In Transit,Assigned,,MTD­002,WA­ 20203221329,
106,2020-03-02,2020-03-17,City of Redmond EMD,King,Redmond,PIO assistance to our ECC,Incident Stabilization,County,Cancelled,Cancelled,,Covid 19 KC­ 20203213686,WA­ 20203213686,
107,2020-03-16,2020-03-17,KC EM,King,Algona,Shower Slippers,Incident Stabilization,County,In Transit,Assigned,,KC­ 20203169786,WA­ 20203169786,
108,2020-03-14,2020-03-17,Alpha Supported Living Services,Snohomish,Bothell,"Mask, N95 grade",Life Saving,County,Cancelled,,,Snoco­ 20203141699,WA­ 20203141699,
109,2020-03-16,2020-03-17,Alpha Supported Living Services­ SHD,Snohomish,Bothell,"Mask, N95 grade",Incident Stabilization,County,Accepted,,,SnoCo­ 202031610415,WA­ 202031610415,
110,2020-03-04,2020-03-17,DCHS,King,Seattle,Active request: need 24/7 congregate space for homeless individuals.,Property Preservation,County,Accepted,Assigned,,KC­ 2020349702,WA­ 2020349702,
111,2020-03-14,2020-03-17,DCHS,King,Kent,Shelter Manager for Kent Central Motel,Incident Stabilization,County,In Transit,In Transit,,DCHS­ 202031416969,WA­ 202031416969,
112,2020-03-17,2020-03-17,Snohomish County Fire Task Force,Snohomish,Everett,"Sanitizer, Hand",Incident Stabilization,County,Accepted,,,SnoCo­ 202031712967,WA­ 202031712967,
113,2020-03-17,2020-03-17,DSHS,Spokane,Medical Lake,Isolation Gowns,,County,Unassigned,,,DSHS­0017,WA­ 20203171118,
114,2020-03-08,2020-03-21,Meadowbrook AFH LLC,King,Kent,"RR 191 / mask, N95 / mask, procedure / hand sanitizer / gown, disposable / gloves, exam",Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 20203815257 0,WA­ 20203815257,
115,2020-03-11,2020-03-21,MRJC,King,Kent,"Gown, Disposable",Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 202031116235 PH­ 202031116235,WA­ 202031116235,
116,2020-03-07,2020-03-21,Meadowbrook Urgent Care & Family Practice,King,Seattle,"T3 Mask, Proceudre / Mask, N95",Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 20203715755 PH­ 20203715755,WA­ 20203715755,
117,2020-03-20,2020-03-21,Valley Transit,Walla,Walla Walla Walla,Hand Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202032013850 0320002,WA­ 202032013850,
118,2020-03-13,2020-03-21,Snohomish County Fire & Task Force,Snohomish,Everett,Cavicide,Incident Stabilization,County,Assigned,Assigned,Logistics Section,SNOCO ­ WA­ 202031311912 WA­ 202031311912,WA­ 202031311912,
119,2020-03-13,2020-03-21,Swedish Edmonds Medical,Snohomish,Edmonds,"Gloves, Nitrile Exam",Incident Stabilization,County,Assigned,Assigned,Logistics Section,ED015/SnoCo­ 202031313780 WA­202031313780,WA­ 202031313780,
120,2020-03-15,2020-03-21,Thurston County Emergency Management,Thurston,Olympia,"Mask, N95 / Face Shield, Anti­Fog / Gown, Procedure / COVID19 Test kits",Incident Stabilization,County,Assigned,Assigned,Logistics Section,TH­202031710776 TH­202031710776,WA­ 202031710776,
121,2020-03-10,2020-03-21,Okanogan EM/Lifeline Ambulance,Okanogan,Okanogan,"wipes, disinfecting",Incident Stabilization,County,Assigned,Assigned,Logistics Section,OKEM202003100001,WA­ 202031016798,
122,2020-03-13,2020-03-21,Swedish Edmonds Medical,Snohomish,Edmonds,"Mask, procedure",Incident Stabilization,County,Assigned,Assigned,Logistics Section,ED008/SNOCO = 202031314749 WA­202031314749,WA­ 202031314749,
123,2020-03-15,2020-03-21,Okanogan EM/Sheriff ­ Dispatch,Okanogan,Okanogan,Disinfectant Wipes,Incident Stabilization,County,Assigned,Assigned,Logistics Section,OKEM20200312­ 0002,WA­ 202031514532,
124,2020-03-15,2020-03-21,Okanogan EM/Sheriff ­ Dispatch,Okanogan,Okanogan,Hand Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,OKEM20200312­ 0002,WA­ 202031514217,
125,2020-03-11,2020-03-21,Snohomish Health District,Snohomish,Everett,"respirator, CAPR Air Purifying Respiratory Unit",Incident Stabilization,County,Assigned,Assigned,Logistics Section,SNOCO ­ WA­ 202031110693,WA­ 202031110693,
126,2020-03-21,2020-03-24,Suquamish Tribe Emergency Management,Kitsap,Suquamish,* Suquamish Tribe PPE for Tier 1,Incident Stabilization,State,Accepted,Assigned,,suq­032020 suq­20200321,WA­ 202032119371,
127,2020-03-22,2020-03-24,Spokane Tribe of Indians,Stevens,Kettle Falls,*Spokane Tribe Consolidated List,Incident Stabilization,State,Accepted,Assigned,,STOI­001 STOI­001,WA­ 202032217608,
128,2020-03-13,2020-03-24,Puyallup Tribal Health Authority,Pierce,Tacoma,* Puyallup Tribal Health Authority Bulk Request,Incident Stabilization,State,Accepted,Assigned,,98404 WA­ 202031310599,WA­ 202031310599,
129,2020-03-19,2020-03-24,Benton Franklin Health District,Benton,Kennewick,TESTING SUPPLIES,Incident Stabilization,County,Assigned,Assigned,,WA­ 202031910410 BC025­ COVID19,WA­ 202031910410,
130,2020-03-22,2020-03-24,Grays Harbor Emergency Management,Grays,Harbor Montesano,EOC LSC,Incident Stabilization,State,Assigned,Assigned Completed,,GHC­O­1,WA­ 202032215427,
131,2020-03-22,2020-03-24,DSHS­Long Term Care,Thurston,Olympia,Planning Chief,,State,Assigned,Assigned,,DSHS­0025,WA­ 202032217781,
132,2020-03-24,2020-03-24,KCEOC ESF8,Kitsap,Bremerton,250­Bed Federal Medical Station (FMS) for Tier 1 Health Care Organization,,County,Unassigned,,,Kitsap ­ 051ESF8,WA­ 20203248150,
133,2020-03-17,2020-03-24,Quinault Indian Nation,Grays,Harbor Ocean Shores,"Staffing, C&G Safety Officer, Quinault",Incident Stabilization,State,Assigned,Assigned,,WA­ 20203171012 wa­ 20203171012,WA­ 20203171012,
134,2020-03-24,2020-03-24,Northwest Healthcare Response Network/Affiliate,Kitsap,Bremerton,PPE/Medical Supplies for Tier 3 Health Care Facility,,County,Unassigned,,,Kitsap ­ 053NWHRNA,WA­ 20203248993,
135,2020-03-12,2020-03-21,Issaquah Police Department,King,Issaquah,"gown, surgical / gown, tyvek / sanitizing wipes / hand sanitizer /",Incident Stabilization,County,Assigned,Assigned,,Iss­200265­002 KC­202031215828,WA­ 202031215828,
136,2020-03-19,2020-03-21,PeaceHealth SW Medical,Clark,Vancouver,N95 Masks,Incident Stabilization,County,Assigned,Assigned,,WA­202031917417 COVID­019,WA­ 202031917417,
137,2020-03-19,2020-03-21,PeaceHealth SW Medical,Clark,Vancouver,Sterile Viral Test Kits,Incident Stabilization,County,Assigned,Assigned,,WA­202031916813 COVID­018,WA­ 202031916813,
